block_slug,attr_name,attr_type,canonical_slot,standalone_block,attr_role,slot_role,role_classification,is_responsive,inspector_control_type
core/cover,alt,string,alt,,content,content,content-bearing,0,
sgs/responsive-logo,alt,string,alt,,content,content,content-bearing,0,ToggleControl
sgs/button,ariaLabel,string,ariaLabel,,content,content,content-bearing,0,ToggleControl
sgs/icon,ariaLabel,string,ariaLabel,,content,content,content-bearing,0,TextControl
sgs/mega-menu,ariaLabel,string,ariaLabel,,content,content,content-bearing,0,
sgs/mobile-nav,ariaLabel,string,ariaLabel,,content,content,content-bearing,0,
sgs/mobile-nav-toggle,ariaLabel,string,ariaLabel,,content,content,content-bearing,0,RangeControl
core/post-author,avatarSize,number,avatar,sgs/media,select-from-enum,image-object,content-bearing,0,
sgs/testimonial,avatar,object,avatar,sgs/media,image-object,image-object,content-bearing,0,
core/cover,backgroundType,string,backgroundMedia,sgs/media,select-from-enum,image-object,content-bearing,0,
sgs/announcement-bar,backgroundColour,string,backgroundMedia,sgs/media,,image-object,content-bearing,0,SelectControl
sgs/container,backgroundAttachment,string,backgroundMedia,sgs/media,enum-class-probe,image-object,content-bearing,0,SelectControl
sgs/container,backgroundImage,object,backgroundMedia,sgs/media,image-object,image-object,content-bearing,1,Button
sgs/container,backgroundImageMobile,object,backgroundMedia,sgs/media,image-object,image-object,content-bearing,0,Button
sgs/container,backgroundImageTablet,object,backgroundMedia,sgs/media,image-object,image-object,content-bearing,0,Button
sgs/container,backgroundMedia,object,backgroundMedia,sgs/media,image-object,image-object,content-bearing,0,
sgs/container,backgroundPosition,string,backgroundMedia,sgs/media,select-from-enum,image-object,content-bearing,0,SelectControl
sgs/container,backgroundRepeat,string,backgroundMedia,sgs/media,image-object,image-object,content-bearing,0,SelectControl
sgs/container,backgroundSize,string,backgroundMedia,sgs/media,select-from-enum,image-object,content-bearing,0,SelectControl
sgs/container,bgVideo,object,backgroundMedia,sgs/media,,image-object,content-bearing,1,Button
sgs/container,bgVideoMobile,object,backgroundMedia,sgs/media,,image-object,content-bearing,0,MediaUpload
sgs/cta-section,backgroundImage,object,backgroundMedia,sgs/media,image-object,image-object,content-bearing,0,
sgs/cta-section,backgroundImageOpacity,number,backgroundMedia,sgs/media,visual,image-object,content-bearing,0,
sgs/cta-section,backgroundMedia,object,backgroundMedia,sgs/media,image-object,image-object,content-bearing,0,
sgs/google-reviews,backgroundColour,string,backgroundMedia,sgs/media,,image-object,content-bearing,0,
sgs/hero,backgroundImage,object,backgroundMedia,sgs/media,image-object,image-object,content-bearing,0,
sgs/hero,backgroundMedia,object,backgroundMedia,sgs/media,image-object,image-object,content-bearing,0,
sgs/hero,backgroundVideo,object,backgroundMedia,sgs/media,image-object,image-object,content-bearing,0,
sgs/hero,bgVideo,object,backgroundMedia,sgs/media,,image-object,content-bearing,1,Button
sgs/hero,bgVideoMobile,object,backgroundMedia,sgs/media,,image-object,content-bearing,0,Button
sgs/certification-bar,badgeSize,string,badge,sgs/label,select-from-enum,text-content,content-bearing,0,SelectControl
sgs/certification-bar,badgeStyle,string,badge,sgs/label,behaviour,text-content,content-bearing,0,SelectControl
sgs/mega-menu,badge,string,badge,sgs/label,text-content,text-content,content-bearing,0,SelectControl
sgs/mega-menu,badgeColour,string,badge,sgs/label,color,text-content,content-bearing,0,DesignTokenPicker
core/video,tracks,array,bar,,identity,identity,content-bearing,0,
sgs/reading-progress,barColour,string,bar,,color,identity,content-bearing,0,
sgs/reading-progress,barHeight,number,bar,,layout,identity,content-bearing,0,
core/search,buttonPosition,string,button,sgs/button,select-from-enum,content,content-bearing,0,
core/search,buttonText,string,button,sgs/button,text-content,content,content-bearing,0,
sgs/announcement-bar,ctaColour,string,button,sgs/button,color,content,content-bearing,0,SelectControl
sgs/announcement-bar,ctaStyle,string,button,sgs/button,behaviour,content,content-bearing,0,SelectControl
sgs/back-to-top,buttonColour,string,button,sgs/button,color,content,content-bearing,0,
sgs/cta-section,buttonBackground,string,button,sgs/button,color,content,content-bearing,0,
sgs/cta-section,buttonBorderColour,string,button,sgs/button,color,content,content-bearing,0,
sgs/cta-section,buttonBorderRadius,number,button,sgs/button,visual,content,content-bearing,0,
sgs/cta-section,buttonBorderWidth,number,button,sgs/button,visual,content,content-bearing,0,
sgs/cta-section,buttonColour,string,button,sgs/button,color,content,content-bearing,0,
sgs/cta-section,buttonSize,string,button,sgs/button,select-from-enum,content,content-bearing,0,
sgs/cta-section,buttonStyle,string,button,sgs/button,behaviour,content,content-bearing,0,
sgs/cta-section,buttons,array,button,sgs/button,content,content,content-bearing,0,
sgs/hero,ctaGap,integer,button,sgs/button,layout,content,content-bearing,1,
sgs/hero,ctaGapMobile,integer,button,sgs/button,layout,content,content-bearing,0,
sgs/hero,ctaGapTablet,integer,button,sgs/button,layout,content,content-bearing,0,
sgs/hero,ctaGapUnit,string,button,sgs/button,layout,content,content-bearing,0,SelectControl
sgs/hero,ctaPrimaryBackground,string,button,sgs/button,color,content,content-bearing,0,
sgs/hero,ctaPrimaryColour,string,button,sgs/button,color,content,content-bearing,0,
sgs/hero,ctaPrimaryStyle,string,button,sgs/button,behaviour,content,content-bearing,0,
sgs/hero,ctaPrimaryText,string,button,sgs/button,text-content,content,content-bearing,0,
sgs/hero,ctaPrimaryUrl,string,button,sgs/button,content,content,content-bearing,0,
sgs/mobile-nav,ctaBg,string,button,sgs/button,color,content,content-bearing,0,
sgs/mobile-nav,ctaBorderColour,string,button,sgs/button,color,content,content-bearing,0,
sgs/mobile-nav,ctaIcon,string,button,sgs/button,enum-class-probe,content,content-bearing,0,TextControl
sgs/mobile-nav,ctaStyle,string,button,sgs/button,behaviour,content,content-bearing,0,SelectControl
sgs/mobile-nav,ctaText,string,button,sgs/button,text-content,content,content-bearing,0,ToggleControl
sgs/mobile-nav,ctaTextColour,string,button,sgs/button,color,content,content-bearing,0,
sgs/mobile-nav,ctaUrl,string,button,sgs/button,content,content,content-bearing,0,TextControl
sgs/post-grid,readMoreColour,string,button,sgs/button,color,content,content-bearing,0,
sgs/post-grid,readMoreText,string,button,sgs/button,text-content,content,content-bearing,0,
sgs/pricing-table,ctaBackground,string,button,sgs/button,color,content,content-bearing,0,DesignTokenPicker
sgs/pricing-table,ctaColour,string,button,sgs/button,color,content,content-bearing,0,SelectControl
sgs/pricing-table,ctaStyle,string,button,sgs/button,behaviour,content,content-bearing,0,SelectControl
sgs/product-card,ctaText,string,button,sgs/button,text-content,content,content-bearing,0,
sgs/product-card,ctaUrl,string,button,sgs/button,content,content,content-bearing,0,
sgs/product-card,packSizes,array,button,sgs/button,content,content,content-bearing,0,
sgs/hero,ctaSecondaryBackground,string,buttonSecondary,sgs/button,color,content,content-bearing,0,
sgs/hero,ctaSecondaryColour,string,buttonSecondary,sgs/button,color,content,content-bearing,0,
sgs/hero,ctaSecondaryStyle,string,buttonSecondary,sgs/button,behaviour,content,content-bearing,0,
sgs/hero,ctaSecondaryText,string,buttonSecondary,sgs/button,text-content,content,content-bearing,0,
sgs/hero,ctaSecondaryUrl,string,buttonSecondary,sgs/button,content,content,content-bearing,0,
sgs/mobile-nav,secondaryCtaBg,string,buttonSecondary,sgs/button,color,content,content-bearing,0,
sgs/mobile-nav,secondaryCtaIcon,string,buttonSecondary,sgs/button,enum-class-probe,content,content-bearing,0,TextControl
sgs/mobile-nav,secondaryCtaStyle,string,buttonSecondary,sgs/button,behaviour,content,content-bearing,0,SelectControl
sgs/mobile-nav,secondaryCtaText,string,buttonSecondary,sgs/button,text-content,content,content-bearing,0,ToggleControl
sgs/mobile-nav,secondaryCtaTextColour,string,buttonSecondary,sgs/button,color,content,content-bearing,0,
sgs/mobile-nav,secondaryCtaUrl,string,buttonSecondary,sgs/button,content,content,content-bearing,0,TextControl
core/playlist,caption,string,caption,sgs/text,text-content,text-content,content-bearing,0,
sgs/gallery,captionColour,string,caption,sgs/text,color,text-content,content-bearing,0,
sgs/media,caption,string,caption,sgs/text,text-content,text-content,content-bearing,0,
sgs/media,captionColour,string,caption,sgs/text,color,text-content,content-bearing,0,
sgs/media,captionFontSize,integer,caption,sgs/text,typography,text-content,content-bearing,0,
sgs/media,captionFontSizeUnit,string,caption,sgs/text,typography,text-content,content-bearing,0,
core/post-date,datetime,string,date,sgs/text,text-content,text-content,content-bearing,0,
sgs/timeline,dateColour,string,date,sgs/text,color,text-content,content-bearing,0,DesignTokenPicker
sgs/pricing-table,featureColour,string,feature,,color,identity,content-bearing,0,DesignTokenPicker
sgs/accordion,headerBackground,string,header,,color,identity,content-bearing,0,DesignTokenPicker
sgs/accordion,headerColour,string,header,,color,identity,content-bearing,0,DesignTokenPicker
core/form-input,name,string,heading,sgs/heading,text-content,text-content,content-bearing,0,
core/table-of-contents,headings,array,heading,sgs/heading,text-content,text-content,content-bearing,0,
sgs/accordion-item,title,string,heading,sgs/heading,text-content,text-content,content-bearing,0,
sgs/card-grid,titleColour,string,heading,sgs/heading,color,text-content,content-bearing,0,DesignTokenPicker
sgs/certification-bar,title,string,heading,sgs/heading,text-content,text-content,content-bearing,0,Button
sgs/certification-bar,titleColour,string,heading,sgs/heading,color,text-content,content-bearing,0,DesignTokenPicker
sgs/certification-bar,titleFontSize,string,heading,sgs/heading,typography,text-content,content-bearing,0,SelectControl
sgs/cta-section,headline,string,heading,sgs/heading,text-content,text-content,content-bearing,0,
sgs/cta-section,headlineColour,string,heading,sgs/heading,color,text-content,content-bearing,0,DesignTokenPicker
sgs/data-display,displayTitle,string,heading,sgs/heading,boolean-visibility,text-content,content-bearing,0,
sgs/form-review,heading,string,heading,sgs/heading,text-content,text-content,content-bearing,0,TextControl
