canonical_slot,standalone_block,slot_role,role_classification,aliases,wp_canonical,html_semantic_tag,example_block,attr_instance_count,referencing_block_count,BEAN_FLAG,BEAN_NOTES
label,sgs/label,text-content,content-bearing,"[""badge-label"", ""badge-text"", ""eyebrow"", ""inner-label"", ""kicker"", ""node-icon"", ""slot-label"", ""tag""]",,span,core/categories,102,42,,
text,sgs/text,text-content,content-bearing,"[""attribution"", ""author"", ""bio"", ""body"", ""caption"", ""consent-text"", ""content-preview"", ""copy"", ""description"", ""excerpt"", ""inner-label"", ""intro"", ""label-control"", ""message"", ""messages"", ""review-content"", ""verified"", ""verified-text""]",,p,core/navigation-link,130,38,,
heading,sgs/heading,text-content,content-bearing,"[""aggregate-text"", ""card-title"", ""headline"", ""name"", ""review-header"", ""title""]",,h1,core/form-input,67,18,,
icon,sgs/icon,image-object,content-bearing,"[""badge-number"", ""check"", ""feature-icon"", ""feature-icon--check"", ""feature-icon--cross"", ""glyph"", ""iconPosition"", ""iconSize"", ""iconValue"", ""symbol"", ""verified-icon""]",,svg,core/accordion,48,18,,
link,sgs/button,content,content-bearing,"[""anchor"", ""count-link"", ""href"", ""image-link"", ""social-link"", ""url""]",,a,core/tabs-menu-item,15,10,,
button,sgs/button,content,content-bearing,"[""btn"", ""buttons"", ""cta"", ""cta-inputs"", ""ctaPrimary"", ""ctas"", ""load-more"", ""primaryButton"", ""primaryCta"", ""readmore""]",,a,core/search,37,9,,
items,sgs/info-box,text-content,content-bearing,"[""arrow"", ""arrows"", ""badges"", ""dot"", ""dots"", ""features"", ""filter"", ""filters"", ""list"", ""menu"", ""nav"", ""option"", ""set"", ""social"", ""social-link"", ""thumbs""]",,,core/post-navigation-link,8,8,,
media,sgs/media,image-object,content-bearing,"[""badge-img"", ""bg-img"", ""embed"", ""image"", ""image-wrap"", ""img"", ""img-wrap"", ""photo"", ""picture"", ""side-image"", ""side-img"", ""slot-img"", ""split-image"", ""split-image--bleed"", ""split-image--desktop"", ""split-image--mobile"", ""thumb"", ""thumb-img"", ""video""]",,img,core/media-text,80,8,,
options,,text-content,content-bearing,[],,select,sgs/form-field-address,8,7,,
backgroundMedia,sgs/media,image-object,content-bearing,"[""background"", ""backgroundImage"", ""backgroundVideo"", ""bg-img"", ""bg-media"", ""bg-video"", ""bgColor"", ""bgColour"", ""bgImage"", ""bgVideo"", ""heroImage"", ""svg-bg"", ""video-bg""]",,,core/cover,21,6,,
subheading,sgs/text,text-content,content-bearing,"[""sub"", ""subHeadline"", ""subTitle"", ""subheadline"", ""subtitle""]",,,sgs/card-grid,52,6,,
ariaLabel,,content,content-bearing,[],,,sgs/button,5,5,,
number,sgs/counter,text-content,content-bearing,"[""aggregate"", ""badge-number"", ""count"", ""count-link"", ""numeric"", ""stat"", ""stats""]",,,sgs/countdown-timer,8,5,,
role,sgs/label,identity,content-bearing,"[""authorRole"", ""card-meta"", ""category"", ""jobTitle"", ""speakerRole""]",,span,core/latest-posts,7,5,,
caption,sgs/text,text-content,content-bearing,"[""lightbox-caption""]",,figcaption,core/playlist,6,3,,
review,sgs/testimonial,identity,content-bearing,"[""review-row"", ""review-item"", ""review-card""]",,,sgs/testimonial,3,3,,
alt,,content,content-bearing,[],,,core/cover,2,2,,
avatar,sgs/media,image-object,content-bearing,"[""authorImage"", ""avatar-img"", ""avatar-initials"", ""portrait"", ""profile""]",,img,core/post-author,2,2,,
badge,sgs/label,text-content,content-bearing,"[""pill""]",,span,sgs/certification-bar,4,2,,
bar,,identity,content-bearing,"[""barColour"", ""progress"", ""progress-bar"", ""progress-step"", ""progress-step-label"", ""progress-step-number"", ""progress-steps"", ""progress-wrapper"", ""progressBar"", ""track""]",,div,core/video,3,2,,
buttonSecondary,sgs/button,content,content-bearing,"[""ctaSecondary"", ""secondaryCta"", ""secondaryButton""]",,a,sgs/hero,11,2,,
date,sgs/text,text-content,content-bearing,"[""card-date"", ""datetime"", ""day"", ""period"", ""time"", ""timestamp""]",,time,core/post-date,2,2,,
price,sgs/pricing-table,text-content,content-bearing,"[""amount"", ""cost"", ""price-wrapper"", ""ribbon"", ""savings-badge""]",,span,sgs/pricing-table,3,2,,
quote,sgs/quote,identity,content-bearing,"[""blockquote"", ""pullquote"", ""quote"", ""quoteBody"", ""quoteText""]",,blockquote,sgs/testimonial,3,2,,
rating,sgs/star-rating,text-content,content-bearing,"[""aggregate"", ""card-stars"", ""header-stars"", ""score"", ""stars""]",,span,sgs/testimonial,2,2,,
star,sgs/star-rating,identity,content-bearing,"[""starColour"", ""emptyStar""]",,svg,sgs/google-reviews,3,2,,
step,sgs/process-steps,identity,content-bearing,"[""progress-step"", ""wizard-step"", ""stage-item""]",,,sgs/form-field-number,2,2,,
feature,,identity,content-bearing,"[""featureColour""]",,li,sgs/pricing-table,1,1,,
header,,identity,content-bearing,"[""headerBackground"", ""headerColour""]",,header,sgs/accordion,2,1,,
social,sgs/social-icons,identity,content-bearing,"[""social-link"", ""social-icon"", ""social-item""]",,a,sgs/mobile-nav,1,1,,
tab,sgs/tab,identity,content-bearing,"[""billing-toggle"", ""filter"", ""tabActive"", ""tabActiveIndicator"", ""tabBg"", ""tabText"", ""toggle-input"", ""toggle-label"", ""toggle-track""]",,,sgs/tabs,5,1,,
