section,viewport,pct,verdict,selector_matched
hero,375x812,86.535,FAIL,?
hero,768x1024,61.897,FAIL,?
hero,1440x900,67.841,FAIL,?
brand,375x812,54.968,FAIL,?
brand,768x1024,47.608,FAIL,?
brand,1440x900,43.707,FAIL,?
social-proof,375x812,80.15,FAIL,?
social-proof,768x1024,79.718,FAIL,?
social-proof,1440x900,57.173,FAIL,?
ingredients-section,375x812,53.043,FAIL,?
ingredients-section,768x1024,41.153,FAIL,?
ingredients-section,1440x900,42.603,FAIL,?
gift-section,375x812,55.269,FAIL,?
gift-section,768x1024,47.375,FAIL,?
gift-section,1440x900,49.851,FAIL,?
featured-product,375x812,70.973,FAIL,?
featured-product,768x1024,58.75,FAIL,?
featured-product,1440x900,68.199,FAIL,?
trust-bar,375x812,32.538,FAIL,?
trust-bar,768x1024,24.233,FAIL,?
trust-bar,1440x900,31.713,FAIL,?
